day_type,time_frame,slot,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range,ticker
weekend,off,1,-70.0,-60.0,0.3684210526315789,0.631578947368421,36,BTC
weekend,off,1,-60.0,-50.0,0.4848484848484848,0.5151515151515151,31,BTC
weekend,off,1,-50.0,-40.0,0.3932584269662921,0.6067415730337078,87,BTC
weekend,off,1,-40.0,-30.0,0.3647798742138364,0.6352201257861636,157,BTC
weekend,off,1,-30.0,-20.0,0.3875968992248062,0.6124031007751938,256,BTC
weekend,off,1,-20.0,-10.0,0.406,0.594,498,BTC
weekend,off,1,-10.0,0.0,0.4511848341232227,0.5488151658767773,1053,BTC
weekend,off,1,0.0,10.0,0.5248855835240275,0.4751144164759725,1746,BTC
weekend,off,1,10.0,20.0,0.569620253164557,0.430379746835443,551,BTC
weekend,off,1,20.0,30.0,0.6231884057971014,0.3768115942028985,274,BTC
weekend,off,1,30.0,40.0,0.6818181818181818,0.3181818181818182,174,BTC
weekend,off,1,40.0,50.0,0.5476190476190477,0.4523809523809523,82,BTC
weekend,off,1,50.0,60.0,0.5636363636363636,0.4363636363636364,53,BTC
weekend,off,1,60.0,70.0,0.725,0.275,38,BTC
weekend,off,1,70.0,80.0,0.6,0.4,23,BTC
weekend,off,2,-90.0,-80.0,0.2,0.8,23,BTC
weekend,off,2,-80.0,-70.0,0.3214285714285714,0.6785714285714286,26,BTC
weekend,off,2,-70.0,-60.0,0.3448275862068966,0.6551724137931034,56,BTC
weekend,off,2,-60.0,-50.0,0.3225806451612903,0.6774193548387097,60,BTC
weekend,off,2,-50.0,-40.0,0.3809523809523809,0.6190476190476191,103,BTC
weekend,off,2,-40.0,-30.0,0.3957345971563981,0.6042654028436019,209,BTC
weekend,off,2,-30.0,-20.0,0.4144295302013422,0.5855704697986577,296,BTC
weekend,off,2,-20.0,-10.0,0.3666026871401152,0.6333973128598849,519,BTC
weekend,off,2,-10.0,0.0,0.4524608501118568,0.5475391498881432,892,BTC
weekend,off,2,0.0,10.0,0.5357142857142858,0.4642857142857142,1426,BTC
weekend,off,2,10.0,20.0,0.5769230769230769,0.4230769230769231,518,BTC
weekend,off,2,20.0,30.0,0.6267409470752089,0.3732590529247911,357,BTC
weekend,off,2,30.0,40.0,0.5931372549019608,0.4068627450980392,202,BTC
weekend,off,2,40.0,50.0,0.6865671641791045,0.3134328358208955,132,BTC
