minute,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range,ticker
1,-160.0,-150.0,0.2962962962962963,0.7037037037037037,25,BTC
1,-150.0,-140.0,0.3428571428571428,0.6571428571428571,33,BTC
1,-140.0,-130.0,0.2368421052631578,0.7631578947368421,36,BTC
1,-130.0,-120.0,0.3478260869565217,0.6521739130434783,44,BTC
1,-120.0,-110.0,0.2711864406779661,0.728813559322034,57,BTC
1,-110.0,-100.0,0.4266666666666667,0.5733333333333333,73,BTC
1,-100.0,-90.0,0.3584905660377358,0.6415094339622642,104,BTC
1,-90.0,-80.0,0.35,0.65,118,BTC
1,-80.0,-70.0,0.3483870967741935,0.6516129032258065,153,BTC
1,-70.0,-60.0,0.3309178743961353,0.6690821256038647,205,BTC
1,-60.0,-50.0,0.3769230769230769,0.6230769230769231,258,BTC
1,-50.0,-40.0,0.3830409356725146,0.6169590643274854,340,BTC
1,-40.0,-30.0,0.3913978494623656,0.6086021505376344,463,BTC
1,-30.0,-20.0,0.4323432343234323,0.5676567656765676,604,BTC
1,-20.0,-10.0,0.4468664850136239,0.5531335149863761,732,BTC
1,-10.0,0.0,0.4836601307189542,0.5163398692810457,916,BTC
1,0.0,10.0,0.5238938053097345,0.4761061946902655,1128,BTC
1,10.0,20.0,0.566225165562914,0.433774834437086,753,BTC
1,20.0,30.0,0.5646481178396072,0.4353518821603928,609,BTC
1,30.0,40.0,0.5761904761904761,0.4238095238095238,418,BTC
1,40.0,50.0,0.6276276276276276,0.3723723723723724,331,BTC
1,50.0,60.0,0.6282527881040892,0.3717472118959107,267,BTC
1,60.0,70.0,0.6335078534031413,0.3664921465968587,189,BTC
1,70.0,80.0,0.6319444444444444,0.3680555555555556,142,BTC
1,80.0,90.0,0.7090909090909091,0.2909090909090909,108,BTC
1,90.0,100.0,0.7368421052631579,0.2631578947368421,74,BTC
1,100.0,110.0,0.5535714285714286,0.4464285714285714,54,BTC
1,110.0,120.0,0.74,0.26,48,BTC
1,120.0,130.0,0.6585365853658537,0.3414634146341463,39,BTC
1,130.0,140.0,0.6428571428571429,0.3571428571428571,26,BTC
1,140.0,150.0,0.7272727272727273,0.2727272727272727,31,BTC
1,160.0,170.0,0.5,0.5,22,BTC
2,-210.0,-200.0,0.3043478260869565,0.6956521739130435,21,BTC
2,-190.0,-180.0,0.3157894736842105,0.6842105263157895,36,BTC
2,-180.0,-170.0,0.1627906976744186,0.8372093023255813,41,BTC
2,-170.0,-160.0,0.1739130434782608,0.8260869565217391,44,BTC
2,-160.0,-150.0,0.3220338983050847,0.6779661016949152,57,BTC
2,-150.0,-140.0,0.2413793103448276,0.7586206896551724,56,BTC
2,-140.0,-130.0,0.3333333333333333,0.6666666666666667,67,BTC
2,-130.0,-120.0,0.2328767123287671,0.7671232876712328,71,BTC
2,-120.0,-110.0,0.3186813186813186,0.6813186813186813,89,BTC
2,-110.0,-100.0,0.3658536585365853,0.6341463414634146,121,BTC
2,-100.0,-90.0,0.2416666666666666,0.7583333333333333,118,BTC
2,-90.0,-80.0,0.2558139534883721,0.7441860465116279,170,BTC
2,-80.0,-70.0,0.2953367875647668,0.7046632124352332,191,BTC
2,-70.0,-60.0,0.375494071146245,0.6245059288537549,251,BTC
2,-60.0,-50.0,0.3108108108108108,0.6891891891891893,294,BTC
2,-50.0,-40.0,0.3895184135977337,0.6104815864022664,351,BTC
2,-40.0,-30.0,0.3498759305210918,0.6501240694789081,401,BTC
2,-30.0,-20.0,0.4061930783242258,0.5938069216757742,547,BTC
2,-20.0,-10.0,0.4592198581560284,0.5407801418439716,562,BTC
2,-10.0,0.0,0.468944099378882,0.531055900621118,642,BTC
2,0.0,10.0,0.5135467980295567,0.4864532019704433,810,BTC
2,10.0,20.0,0.5872193436960277,0.4127806563039723,577,BTC
2,20.0,30.0,0.5956340956340956,0.4043659043659043,479,BTC
2,30.0,40.0,0.6091127098321344,0.3908872901678656,415,BTC
2,40.0,50.0,0.664819944598338,0.3351800554016619,359,BTC
2,50.0,60.0,0.6550522648083623,0.3449477351916377,285,BTC
2,60.0,70.0,0.6756756756756757,0.3243243243243243,257,BTC
2,70.0,80.0,0.6666666666666666,0.3333333333333333,199,BTC
2,80.0,90.0,0.713375796178344,0.286624203821656,155,BTC
2,90.0,100.0,0.6583333333333333,0.3416666666666667,118,BTC
2,100.0,110.0,0.7619047619047619,0.2380952380952381,103,BTC
2,110.0,120.0,0.6808510638297872,0.3191489361702128,92,BTC
2,120.0,130.0,0.6753246753246754,0.3246753246753245,75,BTC
2,130.0,140.0,0.8032786885245902,0.1967213114754098,59,BTC
2,140.0,150.0,0.6666666666666666,0.3333333333333333,40,BTC
2,150.0,160.0,0.6888888888888889,0.3111111111111111,43,BTC
2,160.0,170.0,0.7222222222222222,0.2777777777777778,34,BTC
2,170.0,180.0,0.7837837837837838,0.2162162162162162,35,BTC
2,180.0,190.0,0.84375,0.15625,30,BTC
2,190.0,200.0,0.7142857142857143,0.2857142857142857,26,BTC
2,200.0,210.0,0.6923076923076923,0.3076923076923077,24,BTC
3,-260.0,-250.0,0.1923076923076923,0.8076923076923077,24,BTC
3,-230.0,-220.0,0.1935483870967742,0.8064516129032258,29,BTC
