event_type,ticker,day_type,time_frame,slot,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range
5m,BTC,weekend,tf1,1,-50.0,-40.0,0.3636363636363636,0.6363636363636364,20
5m,BTC,weekend,tf1,1,-40.0,-30.0,0.2857142857142857,0.7142857142857143,54
5m,BTC,weekend,tf1,1,-30.0,-20.0,0.2747252747252747,0.7252747252747253,89
5m,BTC,weekend,tf1,1,-20.0,-10.0,0.4511111111111111,0.5488888888888889,223
5m,BTC,weekend,tf1,1,-10.0,0.0,0.5142857142857142,0.4857142857142857,593
5m,BTC,weekend,tf1,1,0.0,10.0,0.5261437908496731,0.4738562091503269,916
5m,BTC,weekend,tf1,1,10.0,20.0,0.5456431535269709,0.4543568464730291,239
5m,BTC,weekend,tf1,1,20.0,30.0,0.6785714285714286,0.3214285714285714,82
5m,BTC,weekend,tf1,1,30.0,40.0,0.6410256410256411,0.3589743589743589,37
5m,BTC,weekend,tf1,2,-50.0,-40.0,0.25,0.75,42
5m,BTC,weekend,tf1,2,-40.0,-30.0,0.3188405797101449,0.6811594202898551,67
5m,BTC,weekend,tf1,2,-30.0,-20.0,0.3152173913043478,0.6847826086956521,136
5m,BTC,weekend,tf1,2,-20.0,-10.0,0.3874538745387454,0.6125461254612545,269
5m,BTC,weekend,tf1,2,-10.0,0.0,0.4989384288747346,0.5010615711252654,469
5m,BTC,weekend,tf1,2,0.0,10.0,0.5334224598930482,0.4665775401069518,746
5m,BTC,weekend,tf1,2,10.0,20.0,0.6231617647058824,0.3768382352941176,270
5m,BTC,weekend,tf1,2,20.0,30.0,0.6885245901639344,0.3114754098360656,120
5m,BTC,weekend,tf1,2,30.0,40.0,0.7162162162162162,0.2837837837837837,72
5m,BTC,weekend,tf1,2,40.0,50.0,0.7083333333333334,0.2916666666666666,22
5m,BTC,weekend,tf1,3,-60.0,-50.0,0.3142857142857143,0.6857142857142857,33
5m,BTC,weekend,tf1,3,-50.0,-40.0,0.2608695652173913,0.7391304347826086,44
5m,BTC,weekend,tf1,3,-40.0,-30.0,0.3064516129032258,0.6935483870967742,91
5m,BTC,weekend,tf1,3,-30.0,-20.0,0.303030303030303,0.696969696969697,163
5m,BTC,weekend,tf1,3,-20.0,-10.0,0.3948339483394834,0.6051660516605166,269
5m,BTC,weekend,tf1,3,-10.0,0.0,0.5119331742243437,0.4880668257756563,417
5m,BTC,weekend,tf1,3,0.0,10.0,0.5418032786885246,0.4581967213114754,608
5m,BTC,weekend,tf1,3,10.0,20.0,0.6073943661971831,0.3926056338028169,282
5m,BTC,weekend,tf1,3,20.0,30.0,0.66875,0.33125,158
5m,BTC,weekend,tf1,3,30.0,40.0,0.7613636363636364,0.2386363636363636,86
5m,BTC,weekend,tf1,3,40.0,50.0,0.6829268292682927,0.3170731707317072,39
5m,BTC,weekend,tf1,3,50.0,60.0,0.7037037037037037,0.2962962962962963,25
5m,BTC,weekend,tf1,4,-60.0,-50.0,0.2777777777777778,0.7222222222222222,34
5m,BTC,weekend,tf1,4,-50.0,-40.0,0.1428571428571428,0.8571428571428572,61
5m,BTC,weekend,tf1,4,-40.0,-30.0,0.324468085106383,0.675531914893617,92
5m,BTC,weekend,tf1,4,-30.0,-20.0,0.301775147928994,0.6982248520710059,167
5m,BTC,weekend,tf1,4,-20.0,-10.0,0.420863309352518,0.579136690647482,276
5m,BTC,weekend,tf1,4,-10.0,0.0,0.4947780678851174,0.5052219321148825,381
5m,BTC,weekend,tf1,4,0.0,10.0,0.5509259259259259,0.449074074074074,538
5m,BTC,weekend,tf1,4,10.0,20.0,0.625,0.375,274
5m,BTC,weekend,tf1,4,20.0,30.0,0.6529411764705882,0.3470588235294117,168
5m,BTC,weekend,tf1,4,30.0,40.0,0.7058823529411765,0.2941176470588235,100
5m,BTC,weekend,tf1,4,40.0,50.0,0.7169811320754716,0.2830188679245283,51
5m,BTC,weekend,tf1,4,50.0,60.0,0.7619047619047619,0.2380952380952381,40
5m,BTC,weekend,tf1,5,-60.0,-50.0,0.225,0.775,38
5m,BTC,weekend,tf1,5,-50.0,-40.0,0.2469135802469135,0.7530864197530864,79
5m,BTC,weekend,tf1,5,-40.0,-30.0,0.2107843137254902,0.7892156862745098,100
5m,BTC,weekend,tf1,5,-30.0,-20.0,0.3352941176470588,0.6647058823529413,168
5m,BTC,weekend,tf1,5,-20.0,-10.0,0.4060150375939849,0.5939849624060151,264
5m,BTC,weekend,tf1,5,-10.0,0.0,0.4890410958904109,0.510958904109589,363
5m,BTC,weekend,tf1,5,0.0,10.0,0.5502092050209205,0.4497907949790795,476
5m,BTC,weekend,tf1,5,10.0,20.0,0.6285714285714286,0.3714285714285714,278
5m,BTC,weekend,tf1,5,20.0,30.0,0.6571428571428571,0.3428571428571428,173
5m,BTC,weekend,tf1,5,30.0,40.0,0.7547169811320755,0.2452830188679244,104
5m,BTC,weekend,tf1,5,40.0,50.0,0.6935483870967742,0.3064516129032257,60
5m,BTC,weekend,tf1,5,50.0,60.0,0.7906976744186046,0.2093023255813954,41
5m,BTC,weekend,tf1,5,60.0,70.0,0.7586206896551724,0.2413793103448276,27
5m,BTC,weekend,tf1,6,-80.0,-70.0,0.24,0.76,23
5m,BTC,weekend,tf1,6,-70.0,-60.0,0.2432432432432432,0.7567567567567568,35
5m,BTC,weekend,tf1,6,-60.0,-50.0,0.2307692307692307,0.7692307692307692,50
5m,BTC,weekend,tf1,6,-50.0,-40.0,0.1666666666666666,0.8333333333333334,70
5m,BTC,weekend,tf1,6,-40.0,-30.0,0.2863636363636363,0.7136363636363636,108
5m,BTC,weekend,tf1,6,-30.0,-20.0,0.311377245508982,0.688622754491018,165
5m,BTC,weekend,tf1,6,-20.0,-10.0,0.4230769230769231,0.5769230769230769,284
5m,BTC,weekend,tf1,6,-10.0,0.0,0.467065868263473,0.5329341317365269,332
5m,BTC,weekend,tf1,6,0.0,10.0,0.5575539568345323,0.4424460431654676,415
5m,BTC,weekend,tf1,6,10.0,20.0,0.6414728682170543,0.3585271317829457,256
5m,BTC,weekend,tf1,6,20.0,30.0,0.6619318181818182,0.3380681818181817,174
5m,BTC,weekend,tf1,6,30.0,40.0,0.751937984496124,0.2480620155038759,127
5m,BTC,weekend,tf1,6,40.0,50.0,0.7123287671232876,0.2876712328767123,71
5m,BTC,weekend,tf1,6,50.0,60.0,0.7777777777777778,0.2222222222222222,52
5m,BTC,weekend,tf1,6,60.0,70.0,0.8275862068965517,0.1724137931034483,27
5m,BTC,weekend,tf1,7,-80.0,-70.0,0.2222222222222222,0.7777777777777778,25
5m,BTC,weekend,tf1,7,-70.0,-60.0,0.2368421052631578,0.7631578947368421,36
5m,BTC,weekend,tf1,7,-60.0,-50.0,0.2758620689655172,0.7241379310344828,56
5m,BTC,weekend,tf1,7,-50.0,-40.0,0.2241379310344827,0.7758620689655172,85
5m,BTC,weekend,tf1,7,-40.0,-30.0,0.2702702702702703,0.7297297297297297,109
5m,BTC,weekend,tf1,7,-30.0,-20.0,0.3209876543209876,0.6790123456790124,160
5m,BTC,weekend,tf1,7,-20.0,-10.0,0.4071146245059288,0.5928853754940712,251
5m,BTC,weekend,tf1,7,-10.0,0.0,0.4823008849557522,0.5176991150442478,337
5m,BTC,weekend,tf1,7,0.0,10.0,0.525065963060686,0.474934036939314,377
5m,BTC,weekend,tf1,7,10.0,20.0,0.6408730158730159,0.3591269841269841,250
5m,BTC,weekend,tf1,7,20.0,30.0,0.6491228070175439,0.3508771929824561,169
5m,BTC,weekend,tf1,7,30.0,40.0,0.7852112676056338,0.2147887323943662,140
5m,BTC,weekend,tf1,7,40.0,50.0,0.788235294117647,0.2117647058823529,83
5m,BTC,weekend,tf1,7,50.0,60.0,0.7608695652173914,0.2391304347826086,44
5m,BTC,weekend,tf1,7,60.0,70.0,0.8,0.1999999999999999,38
5m,BTC,weekend,tf1,7,70.0,80.0,0.8148148148148148,0.1851851851851852,25
5m,BTC,weekend,tf1,8,-100.0,-90.0,0.1666666666666666,0.8333333333333334,22
5m,BTC,weekend,tf1,8,-80.0,-70.0,0.1794871794871795,0.8205128205128205,37
5m,BTC,weekend,tf1,8,-70.0,-60.0,0.1875,0.8125,30
5m,BTC,weekend,tf1,8,-60.0,-50.0,0.3090909090909091,0.6909090909090909,53
5m,BTC,weekend,tf1,8,-50.0,-40.0,0.2162162162162162,0.7837837837837838,72
5m,BTC,weekend,tf1,8,-40.0,-30.0,0.264,0.736,123
5m,BTC,weekend,tf1,8,-30.0,-20.0,0.2857142857142857,0.7142857142857143,159
5m,BTC,weekend,tf1,8,-20.0,-10.0,0.4021739130434782,0.5978260869565217,274
5m,BTC,weekend,tf1,8,-10.0,0.0,0.529320987654321,0.470679012345679,322
5m,BTC,weekend,tf1,8,0.0,10.0,0.5114942528735632,0.4885057471264368,346
5m,BTC,weekend,tf1,8,10.0,20.0,0.6295546558704453,0.3704453441295546,245
5m,BTC,weekend,tf1,8,20.0,30.0,0.6759259259259259,0.324074074074074,160
5m,BTC,weekend,tf1,8,30.0,40.0,0.7089552238805971,0.2910447761194029,132
5m,BTC,weekend,tf1,8,40.0,50.0,0.8064516129032258,0.1935483870967742,91
5m,BTC,weekend,tf1,8,50.0,60.0,0.8666666666666667,0.1333333333333333,58
5m,BTC,weekend,tf1,8,60.0,70.0,0.78125,0.21875,30
5m,BTC,weekend,tf1,8,70.0,80.0,0.88,0.12,23
5m,BTC,weekend,tf1,9,-80.0,-70.0,0.1463414634146341,0.8536585365853658,39
5m,BTC,weekend,tf1,9,-70.0,-60.0,0.1714285714285714,0.8285714285714285,33
5m,BTC,weekend,tf1,9,-60.0,-50.0,0.2622950819672131,0.7377049180327868,59
5m,BTC,weekend,tf1,9,-50.0,-40.0,0.2125,0.7875,78
5m,BTC,weekend,tf1,9,-40.0,-30.0,0.232,0.768,123
5m,BTC,weekend,tf1,9,-30.0,-20.0,0.3105590062111801,0.68944099378882,159
5m,BTC,weekend,tf1,9,-20.0,-10.0,0.4148148148148148,0.5851851851851853,268
5m,BTC,weekend,tf1,9,-10.0,0.0,0.5015337423312883,0.4984662576687116,324
5m,BTC,weekend,tf1,9,0.0,10.0,0.5558823529411764,0.4441176470588236,338
5m,BTC,weekend,tf1,9,10.0,20.0,0.6171171171171171,0.3828828828828828,220
5m,BTC,weekend,tf1,9,20.0,30.0,0.6946107784431138,0.3053892215568862,165
5m,BTC,weekend,tf1,9,30.0,40.0,0.689922480620155,0.3100775193798449,127
5m,BTC,weekend,tf1,9,40.0,50.0,0.8247422680412371,0.1752577319587629,95
5m,BTC,weekend,tf1,9,50.0,60.0,0.7903225806451613,0.2096774193548387,60
5m,BTC,weekend,tf1,9,60.0,70.0,0.8974358974358975,0.1025641025641025,37
5m,BTC,weekend,tf1,10,-90.0,-80.0,0.1290322580645161,0.8709677419354839,29
5m,BTC,weekend,tf1,10,-80.0,-70.0,0.1818181818181818,0.8181818181818181,31
5m,BTC,weekend,tf1,10,-70.0,-60.0,0.119047619047619,0.8809523809523809,40
5m,BTC,weekend,tf1,10,-60.0,-50.0,0.1403508771929824,0.8596491228070176,55
5m,BTC,weekend,tf1,10,-50.0,-40.0,0.2272727272727272,0.7727272727272727,86
5m,BTC,weekend,tf1,10,-40.0,-30.0,0.2583333333333333,0.7416666666666667,118
5m,BTC,weekend,tf1,10,-30.0,-20.0,0.3475609756097561,0.6524390243902439,162
5m,BTC,weekend,tf1,10,-20.0,-10.0,0.3909465020576131,0.6090534979423868,241
5m,BTC,weekend,tf1,10,-10.0,0.0,0.473186119873817,0.526813880126183,315
5m,BTC,weekend,tf1,10,0.0,10.0,0.556547619047619,0.443452380952381,334
5m,BTC,weekend,tf1,10,10.0,20.0,0.6272321428571429,0.3727678571428571,222
5m,BTC,weekend,tf1,10,20.0,30.0,0.6666666666666666,0.3333333333333333,172
5m,BTC,weekend,tf1,10,30.0,40.0,0.7480916030534351,0.2519083969465648,129
5m,BTC,weekend,tf1,10,40.0,50.0,0.8137254901960784,0.1862745098039215,100
5m,BTC,weekend,tf1,10,50.0,60.0,0.803921568627451,0.196078431372549,49
5m,BTC,weekend,tf1,10,60.0,70.0,0.8936170212765957,0.1063829787234043,45
5m,BTC,weekend,tf1,10,80.0,90.0,0.8333333333333334,0.1666666666666666,22
5m,BTC,weekend,tf1,11,-80.0,-70.0,0.2564102564102564,0.7435897435897436,37
5m,BTC,weekend,tf1,11,-70.0,-60.0,0.108695652173913,0.8913043478260869,44
5m,BTC,weekend,tf1,11,-60.0,-50.0,0.1694915254237288,0.8305084745762712,57
5m,BTC,weekend,tf1,11,-50.0,-40.0,0.1785714285714286,0.8214285714285714,82
5m,BTC,weekend,tf1,11,-40.0,-30.0,0.2857142857142857,0.7142857142857143,124
5m,BTC,weekend,tf1,11,-30.0,-20.0,0.3058823529411764,0.6941176470588235,168
5m,BTC,weekend,tf1,11,-20.0,-10.0,0.396551724137931,0.603448275862069,230
5m,BTC,weekend,tf1,11,-10.0,0.0,0.4763406940063091,0.5236593059936909,315
5m,BTC,weekend,tf1,11,0.0,10.0,0.5681818181818182,0.4318181818181817,306
5m,BTC,weekend,tf1,11,10.0,20.0,0.6056034482758621,0.3943965517241379,230
