timestamp,underlying_price,yes_price,no_price,time_remaining_min,market_direction,market_threshold,equity
2024-12-01 08:00:00,235.66,0.01,0.98,15.0,up,5.0,10000.0
2024-12-01 08:05:00,235.54,0.01,0.98,10.0,up,5.0,10000.0
2024-12-01 08:10:00,236.08,0.01,0.98,5.0,up,5.0,10000.0
2024-12-01 08:15:00,236.26,0.98,0.01,15.0,down,5.0,10000.0
2024-12-01 08:20:00,236.29,0.98,0.01,10.0,down,5.0,10000.0
2024-12-01 08:25:00,236.56,0.98,0.01,5.0,down,5.0,9999.9951
2024-12-01 08:30:00,236.74,0.01,0.98,15.0,up,5.0,10000.0
2024-12-01 08:35:00,237.23,0.01,0.98,10.0,up,5.0,10000.0
2024-12-01 08:40:00,237.69,0.01,0.98,5.0,up,5.0,10000.0
2024-12-01 08:45:00,237.97,0.98,0.01,15.0,down,5.0,9999.9951
2024-12-01 08:50:00,238.49,0.98,0.01,10.0,down,5.0,9999.9951
2024-12-01 08:55:00,238.5,0.98,0.01,5.0,down,5.0,9999.9951
2024-12-01 09:00:00,237.68,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 09:05:00,237.76,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 09:10:00,237.72,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 09:15:00,237.44,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 09:20:00,237.18,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 09:25:00,237.11,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 09:30:00,237.34,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 09:35:00,237.47,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 09:40:00,237.66,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 09:45:00,237.49,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 09:50:00,237.47,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 09:55:00,237.56,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 10:00:00,237.25,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 10:05:00,236.99,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 10:10:00,237.05,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 10:15:00,236.83,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 10:20:00,236.93,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 10:25:00,236.79,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 10:30:00,235.75,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 10:35:00,235.64,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 10:40:00,236.18,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 10:45:00,236.11,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 10:50:00,236.15,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 10:55:00,236.16,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 11:00:00,236.46,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 11:05:00,236.55,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 11:10:00,236.47,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 11:15:00,236.55,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 11:20:00,236.77,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 11:25:00,237.12,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 11:30:00,237.11,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 11:35:00,237.0,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 11:40:00,236.7,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 11:45:00,236.51,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 11:50:00,236.78,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 11:55:00,237.09,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 12:00:00,236.92,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 12:05:00,237.17,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 12:10:00,237.15,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 12:15:00,236.91,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 12:20:00,237.06,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 12:25:00,237.08,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 12:30:00,236.68,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 12:35:00,236.76,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 12:40:00,237.27,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 12:45:00,236.77,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 12:50:00,236.93,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 12:55:00,236.96,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 13:00:00,236.46,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 13:05:00,237.21,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 13:10:00,237.5,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 13:15:00,237.79,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 13:20:00,237.89,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 13:25:00,238.18,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 13:30:00,238.0,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 13:35:00,238.02,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 13:40:00,237.64,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 13:45:00,237.67,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 13:50:00,238.03,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 13:55:00,237.85,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 14:00:00,237.82,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 14:05:00,238.33,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 14:10:00,238.04,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 14:15:00,238.36,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 14:20:00,238.5,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 14:25:00,237.98,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 14:30:00,237.03,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 14:35:00,237.77,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 14:40:00,237.67,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 14:45:00,238.13,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 14:50:00,238.08,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 14:55:00,238.1,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 15:00:00,237.61,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 15:05:00,238.01,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 15:10:00,237.74,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 15:15:00,238.08,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 15:20:00,238.25,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 15:25:00,239.15,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 15:30:00,239.05,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 15:35:00,239.12,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 15:40:00,238.67,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 15:45:00,238.83,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 15:50:00,238.66,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 15:55:00,238.5,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 16:00:00,238.88,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 16:05:00,238.52,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 16:10:00,239.01,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 16:15:00,238.94,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 16:20:00,239.39,0.98,0.01,10.0,down,5.0,9999.9902
