event_type,ticker,day_type,time_frame,slot,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range
5m,BTC,weekend,tf1,1,-70.0,-60.0,0.4,0.6,38
5m,BTC,weekend,tf1,1,-60.0,-50.0,0.4857142857142857,0.5142857142857142,33
5m,BTC,weekend,tf1,1,-50.0,-40.0,0.4020618556701031,0.5979381443298969,95
5m,BTC,weekend,tf1,1,-40.0,-30.0,0.3772455089820359,0.6227544910179641,165
5m,BTC,weekend,tf1,1,-30.0,-20.0,0.3732876712328767,0.6267123287671232,290
5m,BTC,weekend,tf1,1,-20.0,-10.0,0.4076782449725777,0.5923217550274222,545
5m,BTC,weekend,tf1,1,-10.0,0.0,0.4642857142857143,0.5357142857142857,1034
5m,BTC,weekend,tf1,1,0.0,10.0,0.5233311730395332,0.4766688269604667,1541
5m,BTC,weekend,tf1,1,10.0,20.0,0.5475792988313857,0.4524207011686143,597
5m,BTC,weekend,tf1,1,20.0,30.0,0.6225806451612903,0.3774193548387097,308
5m,BTC,weekend,tf1,1,30.0,40.0,0.6649484536082474,0.3350515463917526,192
5m,BTC,weekend,tf1,1,40.0,50.0,0.5454545454545454,0.4545454545454546,97
5m,BTC,weekend,tf1,1,50.0,60.0,0.5692307692307692,0.4307692307692308,63
5m,BTC,weekend,tf1,1,60.0,70.0,0.717948717948718,0.282051282051282,37
5m,BTC,weekend,tf1,1,70.0,80.0,0.6,0.4,23
5m,BTC,weekend,tf1,2,-100.0,-90.0,0.3636363636363636,0.6363636363636364,20
5m,BTC,weekend,tf1,2,-90.0,-80.0,0.1785714285714285,0.8214285714285714,26
5m,BTC,weekend,tf1,2,-80.0,-70.0,0.2962962962962963,0.7037037037037037,25
5m,BTC,weekend,tf1,2,-70.0,-60.0,0.35,0.65,58
5m,BTC,weekend,tf1,2,-60.0,-50.0,0.3,0.7,68
5m,BTC,weekend,tf1,2,-50.0,-40.0,0.3859649122807017,0.6140350877192983,112
5m,BTC,weekend,tf1,2,-40.0,-30.0,0.3961038961038961,0.6038961038961039,229
5m,BTC,weekend,tf1,2,-30.0,-20.0,0.4063444108761329,0.5936555891238671,329
5m,BTC,weekend,tf1,2,-20.0,-10.0,0.3825622775800711,0.6174377224199288,560
5m,BTC,weekend,tf1,2,-10.0,0.0,0.4605855855855856,0.5394144144144144,886
5m,BTC,weekend,tf1,2,0.0,10.0,0.537910699241786,0.4620893007582139,1185
5m,BTC,weekend,tf1,2,10.0,20.0,0.5620567375886525,0.4379432624113475,562
5m,BTC,weekend,tf1,2,20.0,30.0,0.5960099750623441,0.4039900249376559,399
5m,BTC,weekend,tf1,2,30.0,40.0,0.6,0.4,218
5m,BTC,weekend,tf1,2,40.0,50.0,0.6923076923076923,0.3076923076923077,141
5m,BTC,weekend,tf1,2,50.0,60.0,0.6324786324786325,0.3675213675213675,115
5m,BTC,weekend,tf1,2,60.0,70.0,0.5652173913043479,0.4347826086956521,44
5m,BTC,weekend,tf1,2,70.0,80.0,0.6923076923076923,0.3076923076923077,37
5m,BTC,weekend,tf1,2,80.0,90.0,0.8,0.1999999999999999,33
5m,BTC,weekend,tf1,3,-100.0,-90.0,0.2083333333333333,0.7916666666666666,22
5m,BTC,weekend,tf1,3,-90.0,-80.0,0.358974358974359,0.641025641025641,37
5m,BTC,weekend,tf1,3,-80.0,-70.0,0.2982456140350877,0.7017543859649122,55
