decision_id,decision_time,event_id,ticker,event_end_utc,price_to_beat_at_decision,current_price_at_decision,diff_vs_ptb_at_decision,close_price_at_resolution,stake_usd,shares_simulated,slot,range,prob_up,marketProb_at_decision,price_source_at_decision,best_bid_at_decision,best_ask_at_decision,mid_at_decision,spread_at_decision,spread_pct_at_decision,fill_price_real,QuantumEdge,edge_at_fill_pct,friction_cost_usd,pnl_sim_adjusted,fee_pct_used,slippage_buffer_pct_used,side_taken,event_outcome_real,pnl_simulated,status
bd96e147-4b6a-4514-ad3d-336843523c33,2026-03-11T19:44:27.263609+00:00,bitcoin_up_or_down_march_11_3_40pm_3_45pm_et,BTC,2026-03-11T19:45:00+00:00,70666.43,70651.16,-15.27,70681.000000,5.0,7.8125,27,"[-20.00,-10.00)",0.246269,0.64,best_ask,0.63,0.64,0.635,0.01,0.015748,0.64,0.113731,11.3731,0.289370,-5.289370,2.000000,3.000000,down,up,-5.000000,resolved
5f95957f-82a6-472c-a6a2-508d17464ba6,2026-03-11T19:46:20.389476+00:00,bitcoin_up_or_down_march_11_3_45pm_3_50pm_et,BTC,2026-03-11T19:50:00+00:00,70674.87,70633.56,-41.31,70653.010000,5.0,7.936508,9,"[-50.00,-40.00)",0.292683,0.63,best_ask,0.62,0.63,0.625,0.01,0.016,0.63,0.077317,7.7317,0.290000,2.646508,2.000000,3.000000,down,down,2.936508,resolved
0d823b9d-f51e-4142-9218-793d44196015,2026-03-11T20:00:59.242737+00:00,bitcoin_up_or_down_march_11_4_00pm_4_05pm_et,BTC,2026-03-11T20:05:00+00:00,70641.81,70598.25,-43.56,,5.0,7.352941,6,"[-50.00,-40.00)",0.235294,0.68,best_ask,0.66,0.68,0.67,0.02,0.029851,0.68,0.084706,8.4706,,,,,down,,,pending
9cc4a944-f37b-442f-a70e-91f381131f72,2026-03-11T20:01:14.723662+00:00,ethereum_up_or_down_march_11_4_00pm_4_05pm_et,ETH,2026-03-11T20:05:00+00:00,2076.05,2072.09,-3.96,,5.0,6.493506,8,"[-2.80,-2.60)",0.045455,0.77,best_ask,0.76,0.77,0.765,0.01,0.013072,0.77,0.184545,18.4545,,,,,down,,,pending
eecfeaf2-ede4-4502-ab32-e878772116a1,2026-03-11T20:09:35.819437+00:00,ethereum_up_or_down_march_11_4_05pm_4_10pm_et,ETH,2026-03-11T20:10:00+00:00,2071.68,2070.06,-1.62,2070.200000,5.0,5.617978,28,"[-1.80,-1.60)",0.025641,0.89,best_ask,0.88,0.89,0.885,0.01,0.011299,0.89,0.084359,8.4359,0.278247,0.339730,2.000000,3.000000,down,down,0.617978,resolved
ae853324-1a3d-4e44-ad52-cf5e7ef0df82,2026-03-11T20:11:22.943544+00:00,bitcoin_up_or_down_march_11_4_10pm_4_15pm_et,BTC,2026-03-11T20:15:00+00:00,70488.22,70438.08,-50.14,70434.150000,5.0,7.462687,9,"[-60.00,-50.00)",0.157895,0.67,best_ask,0.66,0.67,0.665,0.01,0.015038,0.67,0.172105,17.2105,0.287595,2.175092,2.000000,3.000000,down,down,2.462687,resolved
d9f9f75f-b671-4f56-976b-5f2e8041e4c0,2026-03-11T20:16:27.554818+00:00,bitcoin_up_or_down_march_11_4_15pm_4_20pm_et,BTC,2026-03-11T20:20:00+00:00,70434.15,70456.47,22.32,70498.640000,4.636591,7.478373,9,"[20.00,30.00)",0.690476,0.62,best_ask,0.6,0.62,0.61,0.02,0.032787,0.62,0.070476,7.0476,0.307840,2.533942,2.000000,3.000000,up,up,2.841782,resolved
4754f67e-7f13-4aa5-9515-8f76e50794b5,2026-03-11T20:16:42.136775+00:00,ethereum_up_or_down_march_11_4_15pm_4_20pm_et,ETH,2026-03-11T20:20:00+00:00,2068.8,2070.95,2.15,2071.000000,5.0,5.882353,11,"[2.00,2.20)",0.942857,0.85,best_ask,0.84,0.85,0.845,0.01,0.011834,0.85,0.092857,9.2857,0.279585,0.602768,2.000000,3.000000,up,up,0.882353,resolved
bdadecfe-bce3-4756-a1a4-dabe37b45b4e,2026-03-11T20:25:32.749268+00:00,ethereum_up_or_down_march_11_4_25pm_4_30pm_et,ETH,2026-03-11T20:30:00+00:00,2070.31,2068.01,-2.3,2069.700000,5.0,8.333333,4,"[-2.00,-1.80)",0.257143,0.6,best_ask,0.58,0.6,0.59,0.02,0.033898,0.6,0.142857,14.2857,0.334745,2.998588,2.000000,3.000000,down,down,3.333333,resolved
869c372c-6eaa-41cf-8d4a-2da5b78b2f9c,2026-03-11T20:25:39.954337+00:00,bitcoin_up_or_down_march_11_4_25pm_4_30pm_et,BTC,2026-03-11T20:30:00+00:00,70444.24,70394.23,-50.01,70439.900000,5.0,7.8125,4,"[-60.00,-50.00)",0.272727,0.64,best_ask,0.63,0.64,0.635,0.01,0.015748,0.64,0.087273,8.7273,0.289370,2.523130,2.000000,3.000000,down,down,2.812500,resolved
